"Notes"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	Count
	"1999"	"1999"	"All Invasive Cancer Sites Combined"	"0"	1290692
	"1999"	"1999"	"Oral Cavity and Pharynx"	"20010-20100"	29091
	"1999"	"1999"	"Lip"	"20010"	2548
	"1999"	"1999"	"Tongue"	"20020"	6986
	"1999"	"1999"	"Salivary Gland"	"20030"	3164
	"1999"	"1999"	"Floor of Mouth"	"20040"	2203
	"1999"	"1999"	"Gum and Other Mouth"	"20050"	4619
	"1999"	"1999"	"Nasopharynx"	"20060"	1551
	"1999"	"1999"	"Tonsil"	"20070"	3613
	"1999"	"1999"	"Oropharynx"	"20080"	1057
	"1999"	"1999"	"Hypopharynx"	"20090"	2344
	"1999"	"1999"	"Other Oral Cavity and Pharynx"	"20100"	1006
	"1999"	"1999"	"Digestive System"	"21010-21130"	243610
	"1999"	"1999"	"Esophagus"	"21010"	13320
	"1999"	"1999"	"Stomach"	"21020"	20230
	"1999"	"1999"	"Small Intestine"	"21030"	4516
	"1999"	"1999"	"Colon and Rectum"	"21041-21052"	150014
	"1999"	"1999"	"Colon excluding Rectum"	"21041-21049"	109529
	"1999"	"1999"	"Cecum"	"21041"	23595
	"1999"	"1999"	"Appendix"	"21042"	1334
	"1999"	"1999"	"Ascending Colon"	"21043"	18340
	"1999"	"1999"	"Hepatic Flexure"	"21044"	5639
	"1999"	"1999"	"Transverse Colon"	"21045"	9400
	"1999"	"1999"	"Splenic Flexure"	"21046"	3678
	"1999"	"1999"	"Descending Colon"	"21047"	6401
	"1999"	"1999"	"Sigmoid Colon"	"21048"	31509
	"1999"	"1999"	"Large Intestine, NOS"	"21049"	9633
	"1999"	"1999"	"Rectum and Rectosigmoid Junction"	"21051-21052"	40485
	"1999"	"1999"	"Rectosigmoid Junction"	"21051"	12902
	"1999"	"1999"	"Rectum"	"21052"	27583
	"1999"	"1999"	"Anus, Anal Canal and Anorectum"	"21060"	3649
	"1999"	"1999"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	12993
	"1999"	"1999"	"Liver"	"21071"	10922
	"1999"	"1999"	"Intrahepatic Bile Duct"	"21072"	2071
	"1999"	"1999"	"Gallbladder"	"21080"	3221
	"1999"	"1999"	"Other Biliary"	"21090"	3482
	"1999"	"1999"	"Pancreas"	"21100"	29231
	"1999"	"1999"	"Retroperitoneum"	"21110"	1035
	"1999"	"1999"	"Peritoneum, Omentum and Mesentery"	"21120"	1139
	"1999"	"1999"	"Other Digestive Organs"	"21130"	780
	"1999"	"1999"	"Respiratory System"	"22010-22060"	204409
	"1999"	"1999"	"Nose, Nasal Cavity and Middle Ear"	"22010"	1904
	"1999"	"1999"	"Larynx"	"22020"	12455
	"1999"	"1999"	"Lung and Bronchus"	"22030"	189353
	"1999"	"1999"	"Pleura"	"22050"	107
	"1999"	"1999"	"Trachea, Mediastinum and Other Respiratory Organs"	"22060"	590
	"1999"	"1999"	"Bones and Joints"	"23000"	2585
	"1999"	"1999"	"Soft Tissue including Heart"	"24000"	7727
	"1999"	"1999"	"Skin excluding Basal and Squamous"	"25010-25020"	44288
	"1999"	"1999"	"Melanoma of the Skin"	"25010"	40777
	"1999"	"1999"	"Other Non-Epithelial Skin"	"25020"	3511
	"1999"	"1999"	"Male and Female Breast"	"26000"	198046
	"1999"	"1999"	"Female Breast"	"26000-Female"	196535
	"1999"	"1999"	"Male Breast"	"26000-Male"	1511
	"1999"	"1999"	"Female Genital System"	"27010-27070"	75177
