"Notes"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"1999"	"1999"	"Alabama"	"01"	19891
	"1999"	"1999"	"Alaska"	"02"	2043
	"1999"	"1999"	"Arizona"	"04"	21878
	"1999"	"1999"	"California"	"06"	140586
	"1999"	"1999"	"Colorado"	"08"	16711
	"1999"	"1999"	"Connecticut"	"09"	19445
	"1999"	"1999"	"Delaware"	"10"	4128
	"1999"	"1999"	"District of Columbia"	"11"	3075
	"1999"	"1999"	"Florida"	"12"	102797
	"1999"	"1999"	"Georgia"	"13"	31248
	"1999"	"1999"	"Hawaii"	"15"	5600
	"1999"	"1999"	"Idaho"	"16"	5371
	"1999"	"1999"	"Illinois"	"17"	60589
	"1999"	"1999"	"Indiana"	"18"	28236
	"1999"	"1999"	"Iowa"	"19"	16243
	"1999"	"1999"	"Kansas"	"20"	12995
	"1999"	"1999"	"Kentucky"	"21"	21384
	"1999"	"1999"	"Louisiana"	"22"	20928
	"1999"	"1999"	"Maine"	"23"	7397
	"1999"	"1999"	"Maryland"	"24"	25735
	"1999"	"1999"	"Massachusetts"	"25"	35517
	"1999"	"1999"	"Michigan"	"26"	52402
	"1999"	"1999"	"Minnesota"	"27"	22629
	"1999"	"1999"	"Missouri"	"29"	28368
	"1999"	"1999"	"Montana"	"30"	4732
	"1999"	"1999"	"Nebraska"	"31"	8757
	"1999"	"1999"	"Nevada"	"32"	7714
	"1999"	"1999"	"New Hampshire"	"33"	6092
	"1999"	"1999"	"New Jersey"	"34"	46592
	"1999"	"1999"	"New Mexico"	"35"	7511
	"1999"	"1999"	"New York"	"36"	97678
	"1999"	"1999"	"North Carolina"	"37"	35497
	"1999"	"1999"	"North Dakota"	"38"	3267
	"1999"	"1999"	"Ohio"	"39"	58840
	"1999"	"1999"	"Oklahoma"	"40"	16504
	"1999"	"1999"	"Oregon"	"41"	18174
	"1999"	"1999"	"Pennsylvania"	"42"	73117
	"1999"	"1999"	"Rhode Island"	"44"	6317
	"1999"	"1999"	"South Carolina"	"45"	19387
	"1999"	"1999"	"Tennessee"	"47"	22737
	"1999"	"1999"	"Texas"	"48"	82763
	"1999"	"1999"	"Utah"	"49"	6815
	"1999"	"1999"	"Vermont"	"50"	3317
	"1999"	"1999"	"Virginia"	"51"	29749
	"1999"	"1999"	"Washington"	"53"	29111
	"1999"	"1999"	"West Virginia"	"54"	10809
	"1999"	"1999"	"Wisconsin"	"55"	27680
	"1999"	"1999"	"Wyoming"	"56"	2266
	"2000"	"2000"	"Alabama"	"01"	20460
	"2000"	"2000"	"Alaska"	"02"	2128
	"2000"	"2000"	"Arizona"	"04"	22713
	"2000"	"2000"	"California"	"06"	141761
	"2000"	"2000"	"Colorado"	"08"	17414
	"2000"	"2000"	"Connecticut"	"09"	20064
	"2000"	"2000"	"Delaware"	"10"	4290
	"2000"	"2000"	"District of Columbia"	"11"	3060
	"2000"	"2000"	"Florida"	"12"	106194
	"2000"	"2000"	"Georgia"	"13"	34031
	"2000"	"2000"	"Hawaii"	"15"	5470
	"2000"	"2000"	"Idaho"	"16"	5822
	"2000"	"2000"	"Illinois"	"17"	61131
	"2000"	"2000"	"Indiana"	"18"	29418
	"2000"	"2000"	"Iowa"	"19"	16177
	"2000"	"2000"	"Kansas"	"20"	13072
	"2000"	"2000"	"Kentucky"	"21"	21852
	"2000"	"2000"	"Louisiana"	"22"	21183
	"2000"	"2000"	"Maine"	"23"	7800
	"2000"	"2000"	"Maryland"	"24"	26056
	"2000"	"2000"	"Massachusetts"	"25"	36225
	"2000"	"2000"	"Michigan"	"26"	53016
	"2000"	"2000"	"Minnesota"	"27"	23544
	"2000"	"2000"	"Missouri"	"29"	28281
	"2000"	"2000"	"Montana"	"30"	4932
	"2000"	"2000"	"Nebraska"	"31"	8862
	"2000"	"2000"	"Nevada"	"32"	9862
	"2000"	"2000"	"New Hampshire"	"33"	6450
