"Notes"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count
	"1999"	"1999"	"< 1 year"	"1"	64
	"1999"	"1999"	"1-4 years"	"1-4"	214
	"1999"	"1999"	"5-9 years"	"5-9"	136
	"1999"	"1999"	"10-14 years"	"10-14"	175
	"1999"	"1999"	"15-19 years"	"15-19"	280
	"1999"	"1999"	"20-24 years"	"20-24"	393
	"1999"	"1999"	"25-29 years"	"25-29"	675
	"1999"	"1999"	"30-34 years"	"30-34"	1297
	"1999"	"1999"	"35-39 years"	"35-39"	2125
	"1999"	"1999"	"40-44 years"	"40-44"	3687
	"1999"	"1999"	"45-49 years"	"45-49"	5159
	"1999"	"1999"	"50-54 years"	"50-54"	7530
	"1999"	"1999"	"55-59 years"	"55-59"	8824
	"1999"	"1999"	"60-64 years "	"60-64"	10604
	"1999"	"1999"	"65-69 years"	"65-69"	12680
	"1999"	"1999"	"70-74 years"	"70-74"	14365
	"1999"	"1999"	"75-79 years"	"75-79"	12679
	"1999"	"1999"	"80-84 years"	"80-84"	8952
	"1999"	"1999"	"85+ years"	"85+"	7839
	"2000"	"2000"	"< 1 year"	"1"	66
	"2000"	"2000"	"1-4 years"	"1-4"	235
	"2000"	"2000"	"5-9 years"	"5-9"	167
	"2000"	"2000"	"10-14 years"	"10-14"	161
	"2000"	"2000"	"15-19 years"	"15-19"	275
	"2000"	"2000"	"20-24 years"	"20-24"	375
	"2000"	"2000"	"25-29 years"	"25-29"	712
	"2000"	"2000"	"30-34 years"	"30-34"	1285
	"2000"	"2000"	"35-39 years"	"35-39"	2212
	"2000"	"2000"	"40-44 years"	"40-44"	3713
	"2000"	"2000"	"45-49 years"	"45-49"	5496
	"2000"	"2000"	"50-54 years"	"50-54"	8031
	"2000"	"2000"	"55-59 years"	"55-59"	9476
	"2000"	"2000"	"60-64 years "	"60-64"	10808
	"2000"	"2000"	"65-69 years"	"65-69"	12867
	"2000"	"2000"	"70-74 years"	"70-74"	14309
	"2000"	"2000"	"75-79 years"	"75-79"	13123
	"2000"	"2000"	"80-84 years"	"80-84"	9316
	"2000"	"2000"	"85+ years"	"85+"	7976
	"2001"	"2001"	"< 1 year"	"1"	61
	"2001"	"2001"	"1-4 years"	"1-4"	236
	"2001"	"2001"	"5-9 years"	"5-9"	170
	"2001"	"2001"	"10-14 years"	"10-14"	191
	"2001"	"2001"	"15-19 years"	"15-19"	284
	"2001"	"2001"	"20-24 years"	"20-24"	469
	"2001"	"2001"	"25-29 years"	"25-29"	689
	"2001"	"2001"	"30-34 years"	"30-34"	1278
	"2001"	"2001"	"35-39 years"	"35-39"	2316
	"2001"	"2001"	"40-44 years"	"40-44"	3773
	"2001"	"2001"	"45-49 years"	"45-49"	5597
	"2001"	"2001"	"50-54 years"	"50-54"	8236
	"2001"	"2001"	"55-59 years"	"55-59"	9765
	"2001"	"2001"	"60-64 years "	"60-64"	10874
	"2001"	"2001"	"65-69 years"	"65-69"	12461
	"2001"	"2001"	"70-74 years"	"70-74"	14331
	"2001"	"2001"	"75-79 years"	"75-79"	13285
	"2001"	"2001"	"80-84 years"	"80-84"	9459
	"2001"	"2001"	"85+ years"	"85+"	8072
	"2002"	"2002"	"< 1 year"	"1"	56
	"2002"	"2002"	"1-4 years"	"1-4"	206
	"2002"	"2002"	"5-9 years"	"5-9"	147
	"2002"	"2002"	"10-14 years"	"10-14"	212
	"2002"	"2002"	"15-19 years"	"15-19"	295
	"2002"	"2002"	"20-24 years"	"20-24"	498
	"2002"	"2002"	"25-29 years"	"25-29"	722
	"2002"	"2002"	"30-34 years"	"30-34"	1242
	"2002"	"2002"	"35-39 years"	"35-39"	2216
	"2002"	"2002"	"40-44 years"	"40-44"	3824
	"2002"	"2002"	"45-49 years"	"45-49"	5654
	"2002"	"2002"	"50-54 years"	"50-54"	8121
	"2002"	"2002"	"55-59 years"	"55-59"	10152
