"Notes"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	Count
	"1999"	"1999"	"All Invasive Cancer Sites Combined"	"0"	94391
	"1999"	"1999"	"Oral Cavity and Pharynx"	"20010-20100"	1927
	"1999"	"1999"	"Lip"	"20010"	80
	"1999"	"1999"	"Tongue"	"20020"	455
	"1999"	"1999"	"Salivary Gland"	"20030"	226
	"1999"	"1999"	"Floor of Mouth"	"20040"	153
	"1999"	"1999"	"Gum and Other Mouth"	"20050"	317
	"1999"	"1999"	"Nasopharynx"	"20060"	158
	"1999"	"1999"	"Tonsil"	"20070"	214
	"1999"	"1999"	"Oropharynx"	"20080"	110
	"1999"	"1999"	"Hypopharynx"	"20090"	144
	"1999"	"1999"	"Other Oral Cavity and Pharynx"	"20100"	70
	"1999"	"1999"	"Digestive System"	"21010-21130"	19783
	"1999"	"1999"	"Esophagus"	"21010"	964
	"1999"	"1999"	"Stomach"	"21020"	1940
	"1999"	"1999"	"Small Intestine"	"21030"	329
	"1999"	"1999"	"Colon and Rectum"	"21041-21052"	11824
	"1999"	"1999"	"Colon excluding Rectum"	"21041-21049"	8608
	"1999"	"1999"	"Cecum"	"21041"	1662
	"1999"	"1999"	"Appendix"	"21042"	75
	"1999"	"1999"	"Ascending Colon"	"21043"	1494
	"1999"	"1999"	"Hepatic Flexure"	"21044"	398
	"1999"	"1999"	"Transverse Colon"	"21045"	709
	"1999"	"1999"	"Splenic Flexure"	"21046"	282
	"1999"	"1999"	"Descending Colon"	"21047"	525
	"1999"	"1999"	"Sigmoid Colon"	"21048"	2345
	"1999"	"1999"	"Large Intestine, NOS"	"21049"	1118
	"1999"	"1999"	"Rectum and Rectosigmoid Junction"	"21051-21052"	3216
	"1999"	"1999"	"Rectosigmoid Junction"	"21051"	1111
	"1999"	"1999"	"Rectum"	"21052"	2105
	"1999"	"1999"	"Anus, Anal Canal and Anorectum"	"21060"	261
	"1999"	"1999"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1179
	"1999"	"1999"	"Liver"	"21071"	1033
	"1999"	"1999"	"Intrahepatic Bile Duct"	"21072"	146
	"1999"	"1999"	"Gallbladder"	"21080"	316
	"1999"	"1999"	"Other Biliary"	"21090"	310
	"1999"	"1999"	"Pancreas"	"21100"	2453
	"1999"	"1999"	"Retroperitoneum"	"21110"	80
	"1999"	"1999"	"Peritoneum, Omentum and Mesentery"	"21120"	65
	"1999"	"1999"	"Other Digestive Organs"	"21130"	62
	"1999"	"1999"	"Respiratory System"	"22010-22060"	13745
	"1999"	"1999"	"Nose, Nasal Cavity and Middle Ear"	"22010"	134
	"1999"	"1999"	"Larynx"	"22020"	885
	"1999"	"1999"	"Lung and Bronchus"	"22030"	12674
	"1999"	"1999"	"Trachea, Mediastinum and Other Respiratory Organs"	"22060"	42
	"1999"	"1999"	"Bones and Joints"	"23000"	208
	"1999"	"1999"	"Soft Tissue including Heart"	"24000"	563
	"1999"	"1999"	"Skin excluding Basal and Squamous"	"25010-25020"	2141
	"1999"	"1999"	"Melanoma of the Skin"	"25010"	1936
	"1999"	"1999"	"Other Non-Epithelial Skin"	"25020"	205
	"1999"	"1999"	"Male and Female Breast"	"26000"	14306
	"1999"	"1999"	"Female Breast"	"26000-Female"	14201
	"1999"	"1999"	"Male Breast"	"26000-Male"	105
	"1999"	"1999"	"Female Genital System"	"27010-27070"	6010
	"1999"	"1999"	"Cervix Uteri"	"27010"	1037
	"1999"	"1999"	"Corpus Uteri"	"27020"	2788
	"1999"	"1999"	"Uterus, NOS"	"27030"	134
	"1999"	"1999"	"Ovary"	"27040"	1634
	"1999"	"1999"	"Vagina"	"27050"	69
	"1999"	"1999"	"Vulva"	"27060"	289
	"1999"	"1999"	"Other Female Genital Organs"	"27070"	59
	"1999"	"1999"	"Male Genital System"	"28010-28040"	14436
	"1999"	"1999"	"Prostate"	"28010"	13845
	"1999"	"1999"	"Testis"	"28020"	509
	"1999"	"1999"	"Penis"	"28030"	63
	"1999"	"1999"	"Other Male Genital Organs"	"28040"	19
	"1999"	"1999"	"Urinary System"	"29010-29040"	7241
	"1999"	"1999"	"Urinary Bladder, invasive and in situ"	"29010"	4557
	"1999"	"1999"	"Kidney and Renal Pelvis"	"29020"	2507
	"1999"	"1999"	"Ureter"	"29030"	120
	"1999"	"1999"	"Other Urinary Organs"	"29040"	57
	"1999"	"1999"	"Eye and Orbit"	"30000"	177
	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	1308
	"1999"	"1999"	"Brain"	"31010"	1182
	"1999"	"1999"	"Cranial Nerves Other Nervous System"	"31040"	126
	"1999"	"1999"	"Endocrine System"	"32010-32020"	1668
	"1999"	"1999"	"Thyroid"	"32010"	1531
	"1999"	"1999"	"Other Endocrine including Thymus"	"32020"	137
	"1999"	"1999"	"Lymphomas"	"33011-33042"	4530
	"1999"	"1999"	"Hodgkin Lymphoma"	"33011-33012"	597
	"1999"	"1999"	"Hodgkin - Nodal"	"33011"	574
	"1999"	"1999"	"Hodgkin - Extranodal"	"33012"	23
	"1999"	"1999"	"Non-Hodgkin Lymphoma"	"33041-33042"	3933
	"1999"	"1999"	"NHL - Nodal"	"33041"	2814
	"1999"	"1999"	"NHL - Extranodal"	"33042"	1119
	"1999"	"1999"	"Myeloma"	"34000"	1247
	"1999"	"1999"	"Leukemias"	"35011-35043"	2669
	"1999"	"1999"	"Acute Lymphocytic Leukemia"	"35011"	257
	"1999"	"1999"	"Chronic Lymphocytic Leukemia"	"35012"	938
	"1999"	"1999"	"Acute Myeloid Leukemia"	"35021"	783
	"1999"	"1999"	"Chronic Myeloid Leukemia"	"35022"	310
	"1999"	"1999"	"Other Leukemias"	"35041-35043"	381
	"1999"	"1999"	"Other Lymphocytic Leukemia"	"35013"	98
	"1999"	"1999"	"Acute Monocytic Leukemia"	"35031"	32
	"1999"	"1999"	"Other Acute Leukemia"	"35041"	104
	"1999"	"1999"	"Aleukemic, Subleukemic and NOS"	"35043"	106
	"1999"	"1999"	"Other Myeloid/Monocytic Leukemia"	"35023"	41
	"1999"	"1999"	"Mesothelioma"	"36010"	198
	"1999"	"1999"	"Kaposi Sarcoma"	"36020"	199
	"1999"	"1999"	"Miscellaneous"	"37000"	2035
	"1999"	"1999"	"Male and Female Breast, In Situ"	"Breast-InSitu"	3287
	"1999"	"1999"	"Female Breast, In Situ"	"Breast-InSitu-Female"	3275
	"2000"	"2000"	"All Invasive Cancer Sites Combined"	"0"	97140
	"2000"	"2000"	"Oral Cavity and Pharynx"	"20010-20100"	1841
	"2000"	"2000"	"Lip"	"20010"	86
	"2000"	"2000"	"Tongue"	"20020"	478
	"2000"	"2000"	"Salivary Gland"	"20030"	228
	"2000"	"2000"	"Floor of Mouth"	"20040"	133
	"2000"	"2000"	"Gum and Other Mouth"	"20050"	297
	"2000"	"2000"	"Nasopharynx"	"20060"	146
	"2000"	"2000"	"Tonsil"	"20070"	202
	"2000"	"2000"	"Oropharynx"	"20080"	81
	"2000"	"2000"	"Hypopharynx"	"20090"	128
	"2000"	"2000"	"Other Oral Cavity and Pharynx"	"20100"	62
	"2000"	"2000"	"Digestive System"	"21010-21130"	19894
	"2000"	"2000"	"Esophagus"	"21010"	993
	"2000"	"2000"	"Stomach"	"21020"	1940
	"2000"	"2000"	"Small Intestine"	"21030"	327
	"2000"	"2000"	"Colon and Rectum"	"21041-21052"	11794
	"2000"	"2000"	"Colon excluding Rectum"	"21041-21049"	8634
	"2000"	"2000"	"Cecum"	"21041"	1681
	"2000"	"2000"	"Appendix"	"21042"	104
	"2000"	"2000"	"Ascending Colon"	"21043"	1417
	"2000"	"2000"	"Hepatic Flexure"	"21044"	398
	"2000"	"2000"	"Transverse Colon"	"21045"	751
	"2000"	"2000"	"Splenic Flexure"	"21046"	296
	"2000"	"2000"	"Descending Colon"	"21047"	516
	"2000"	"2000"	"Sigmoid Colon"	"21048"	2431
	"2000"	"2000"	"Large Intestine, NOS"	"21049"	1040
	"2000"	"2000"	"Rectum and Rectosigmoid Junction"	"21051-21052"	3160
	"2000"	"2000"	"Rectosigmoid Junction"	"21051"	1052
	"2000"	"2000"	"Rectum"	"21052"	2108
	"2000"	"2000"	"Anus, Anal Canal and Anorectum"	"21060"	260
	"2000"	"2000"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1204
	"2000"	"2000"	"Liver"	"21071"	1065
	"2000"	"2000"	"Intrahepatic Bile Duct"	"21072"	139
	"2000"	"2000"	"Gallbladder"	"21080"	318
	"2000"	"2000"	"Other Biliary"	"21090"	319
	"2000"	"2000"	"Pancreas"	"21100"	2515
	"2000"	"2000"	"Retroperitoneum"	"21110"	93
	"2000"	"2000"	"Peritoneum, Omentum and Mesentery"	"21120"	70
	"2000"	"2000"	"Other Digestive Organs"	"21130"	61
	"2000"	"2000"	"Respiratory System"	"22010-22060"	14121
	"2000"	"2000"	"Nose, Nasal Cavity and Middle Ear"	"22010"	140
	"2000"	"2000"	"Larynx"	"22020"	882
	"2000"	"2000"	"Lung and Bronchus"	"22030"	13050
	"2000"	"2000"	"Trachea, Mediastinum and Other Respiratory Organs"	"22060"	43
	"2000"	"2000"	"Bones and Joints"	"23000"	211
	"2000"	"2000"	"Soft Tissue including Heart"	"24000"	567
	"2000"	"2000"	"Skin excluding Basal and Squamous"	"25010-25020"	2476
	"2000"	"2000"	"Melanoma of the Skin"	"25010"	2205
	"2000"	"2000"	"Other Non-Epithelial Skin"	"25020"	271
	"2000"	"2000"	"Male and Female Breast"	"26000"	14318
	"2000"	"2000"	"Female Breast"	"26000-Female"	14198
	"2000"	"2000"	"Male Breast"	"26000-Male"	120
	"2000"	"2000"	"Female Genital System"	"27010-27070"	5932
	"2000"	"2000"	"Cervix Uteri"	"27010"	1024
	"2000"	"2000"	"Corpus Uteri"	"27020"	2738
	"2000"	"2000"	"Uterus, NOS"	"27030"	120
	"2000"	"2000"	"Ovary"	"27040"	1635
	"2000"	"2000"	"Vagina"	"27050"	80
	"2000"	"2000"	"Vulva"	"27060"	244
	"2000"	"2000"	"Other Female Genital Organs"	"27070"	91
	"2000"	"2000"	"Male Genital System"	"28010-28040"	15882
	"2000"	"2000"	"Prostate"	"28010"	15331
	"2000"	"2000"	"Testis"	"28020"	470
	"2000"	"2000"	"Penis"	"28030"	61
	"2000"	"2000"	"Other Male Genital Organs"	"28040"	20
	"2000"	"2000"	"Urinary System"	"29010-29040"	7350
	"2000"	"2000"	"Urinary Bladder, invasive and in situ"	"29010"	4669
	"2000"	"2000"	"Kidney and Renal Pelvis"	"29020"	2497
	"2000"	"2000"	"Ureter"	"29030"	125
	"2000"	"2000"	"Other Urinary Organs"	"29040"	59
	"2000"	"2000"	"Eye and Orbit"	"30000"	196
	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	1438
	"2000"	"2000"	"Brain"	"31010"	1292
	"2000"	"2000"	"Cranial Nerves Other Nervous System"	"31040"	146
	"2000"	"2000"	"Endocrine System"	"32010-32020"	1914
	"2000"	"2000"	"Thyroid"	"32010"	1738
	"2000"	"2000"	"Other Endocrine including Thymus"	"32020"	176
	"2000"	"2000"	"Lymphomas"	"33011-33042"	4551
	"2000"	"2000"	"Hodgkin Lymphoma"	"33011-33012"	650
	"2000"	"2000"	"Hodgkin - Nodal"	"33011"	617
	"2000"	"2000"	"Hodgkin - Extranodal"	"33012"	33
