"Notes"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	"Sex"	"Sex Code"	Count
	"2003"	"2003"	"All Invasive Cancer Sites Combined"	"0"	"Female"	"F"	49450
	"2003"	"2003"	"All Invasive Cancer Sites Combined"	"0"	"Male"	"M"	50004
	"2003"	"2003"	"Oral Cavity and Pharynx"	"20010-20100"	"Female"	"F"	665
	"2003"	"2003"	"Oral Cavity and Pharynx"	"20010-20100"	"Male"	"M"	1287
	"2003"	"2003"	"Lip"	"20010"	"Female"	"F"	19
	"2003"	"2003"	"Lip"	"20010"	"Male"	"M"	51
	"2003"	"2003"	"Tongue"	"20020"	"Female"	"F"	162
	"2003"	"2003"	"Tongue"	"20020"	"Male"	"M"	365
	"2003"	"2003"	"Salivary Gland"	"20030"	"Female"	"F"	131
	"2003"	"2003"	"Salivary Gland"	"20030"	"Male"	"M"	150
	"2003"	"2003"	"Floor of Mouth"	"20040"	"Female"	"F"	42
	"2003"	"2003"	"Floor of Mouth"	"20040"	"Male"	"M"	79
	"2003"	"2003"	"Gum and Other Mouth"	"20050"	"Female"	"F"	137
	"2003"	"2003"	"Gum and Other Mouth"	"20050"	"Male"	"M"	155
	"2003"	"2003"	"Nasopharynx"	"20060"	"Female"	"F"	45
	"2003"	"2003"	"Nasopharynx"	"20060"	"Male"	"M"	89
	"2003"	"2003"	"Tonsil"	"20070"	"Female"	"F"	63
	"2003"	"2003"	"Tonsil"	"20070"	"Male"	"M"	207
	"2003"	"2003"	"Oropharynx"	"20080"	"Female"	"F"	24
	"2003"	"2003"	"Oropharynx"	"20080"	"Male"	"M"	69
	"2003"	"2003"	"Hypopharynx"	"20090"	"Female"	"F"	26
	"2003"	"2003"	"Hypopharynx"	"20090"	"Male"	"M"	105
	"2003"	"2003"	"Other Oral Cavity and Pharynx"	"20100"	"Female"	"F"	16
	"2003"	"2003"	"Other Oral Cavity and Pharynx"	"20100"	"Male"	"M"	17
	"2003"	"2003"	"Digestive System"	"21010-21130"	"Female"	"F"	9530
	"2003"	"2003"	"Digestive System"	"21010-21130"	"Male"	"M"	10157
	"2003"	"2003"	"Esophagus"	"21010"	"Female"	"F"	287
	"2003"	"2003"	"Esophagus"	"21010"	"Male"	"M"	749
	"2003"	"2003"	"Stomach"	"21020"	"Female"	"F"	817
	"2003"	"2003"	"Stomach"	"21020"	"Male"	"M"	1178
	"2003"	"2003"	"Small Intestine"	"21030"	"Female"	"F"	198
	"2003"	"2003"	"Small Intestine"	"21030"	"Male"	"M"	195
	"2003"	"2003"	"Colon and Rectum"	"21041-21052"	"Female"	"F"	5647
	"2003"	"2003"	"Colon and Rectum"	"21041-21052"	"Male"	"M"	5386
	"2003"	"2003"	"Colon excluding Rectum"	"21041-21049"	"Female"	"F"	4265
	"2003"	"2003"	"Colon excluding Rectum"	"21041-21049"	"Male"	"M"	3758
	"2003"	"2003"	"Cecum"	"21041"	"Female"	"F"	1004
